วันที่ทำการทดลอง,ระยะที่ทำการวัด ( cm ),A1,A2,A3,Avg,Error,Unnamed: 7
,50,95,100,98,97.66666667,-47.66666667,
,50,96,101,97,98.0,-48.0,
,50,95,100,98,97.66666667,-47.66666667,
,50,96,103,97,98.66666667,-48.66666667,
,50,94,100,99,97.66666667,-47.66666667,
,50,96,99,101,98.66666667,-48.66666667,
,50,95,101,103,99.66666667,-49.66666667,
,50,94,102,98,98.0,-48.0,
,50,93,100,99,97.33333333,-47.33333333,
,50,92,104,98,98.0,-48.0,
,50,96,105,97,99.33333333,-49.33333333,
,50,93,97,95,95.0,-45.0,
,50,94,98,96,96.0,-46.0,
,50,95,99,97,97.0,-47.0,
,50,94,101,98,97.66666667,-47.66666667,
,50,93,102,100,98.33333333,-48.33333333,
,50,96,99,102,99.0,-49.0,
,50,95,98,98,97.0,-47.0,
,50,94,99,97,96.66666667,-46.66666667,
4/10/2025,70,112,106,107,108.3333333,-38.33333333,
,70,114,107,105,108.6666667,-38.66666667,
,70,116,105,103,108.0,-38.0,
,70,115,109,117,113.6666667,-43.66666667,
,70,114,108,118,113.3333333,-43.33333333,
,70,116,107,113,112.0,-42.0,
,70,113,110,109,110.6666667,-40.66666667,
,70,112,109,110,110.3333333,-40.33333333,
,70,116,105,118,113.0,-43.0,
,70,117,110,115,114.0,-44.0,
,70,115,109,110,111.3333333,-41.33333333,
,70,112,107,113,110.6666667,-40.66666667,
,70,113,108,112,111.0,-41.0,
,70,110,109,109,109.3333333,-39.33333333,
,70,113,110,107,110.0,-40.0,
,70,115,109,111,111.6666667,-41.66666667,
,70,114,111,108,111.0,-41.0,
,70,113,107,112,110.6666667,-40.66666667,
,70,115,112,109,112.0,-42.0,
,70,111,109,105,108.3333333,-38.33333333,
4/10/2025,100,151,147,149,149.0,-49.0,
,100,150,145,144,146.3333333,-46.33333333,
,100,151,136,138,141.6666667,-41.66666667,
,100,149,137,140,142.0,-42.0,
,100,148,142,147,145.6666667,-45.66666667,
,100,146,139,142,142.3333333,-42.33333333,
,100,147,138,145,143.3333333,-43.33333333,
,100,148,142,150,146.6666667,-46.66666667,
,100,146,143,148,145.6666667,-45.66666667,
,100,147,141,145,144.3333333,-44.33333333,
,100,149,140,151,146.6666667,-46.66666667,
,100,148,139,139,142.0,-42.0,
,100,147,138,149,144.6666667,-44.66666667,
,100,149,135,150,144.6666667,-44.66666667,
,100,151,140,152,147.6666667,-47.66666667,
,100,152,143,148,147.6666667,-47.66666667,
,100,150,139,141,143.3333333,-43.33333333,
,100,151,134,149,144.6666667,-44.66666667,
,100,152,140,136,142.6666667,-42.66666667,
,100,150,135,152,145.6666667,-45.66666667,
4/10/2025,200,256,241,270,255.6666667,-55.66666667,
,200,255,241,268,254.6666667,-54.66666667,
,200,255,240,269,254.6666667,-54.66666667,
,200,254,238,267,253.0,-53.0,
,200,251,239,268,252.6666667,-52.66666667,
,200,252,241,270,254.3333333,-54.33333333,
,200,253,240,269,254.0,-54.0,
,200,252,241,267,253.3333333,-53.33333333,
,200,251,242,270,254.3333333,-54.33333333,
,200,250,240,271,253.6666667,-53.66666667,
,200,250,241,269,253.3333333,-53.33333333,
,200,251,238,268,252.3333333,-52.33333333,
,200,250,243,269,254.0,-54.0,
,200,251,238,271,253.3333333,-53.33333333,
,200,260,239,270,256.3333333,-56.33333333,
,200,259,241,269,256.3333333,-56.33333333,
,200,257,242,270,256.3333333,-56.33333333,
,200,262,238,269,256.3333333,-56.33333333,
,200,261,239,268,256.0,-56.0,
,200,260,241,271,257.3333333,-57.33333333,
5/10/2025,300,355,381,348,361.3333333,-61.33333333,
,300,356,379,346,360.3333333,-60.33333333,
,300,354,380,349,361.0,-61.0,
,300,356,416,344,372.0,-72.0,
,300,357,405,345,369.0,-69.0,
,300,355,381,349,361.6666667,-61.66666667,
,300,354,387,348,363.0,-63.0,
,300,353,398,346,365.6666667,-65.66666667,
,300,355,391,345,363.6666667,-63.66666667,
,300,352,370,344,355.3333333,-55.33333333,
,300,351,372,346,356.3333333,-56.33333333,
,300,354,370,344,356.0,-56.0,
,300,352,371,345,356.0,-56.0,
,300,351,381,347,359.6666667,-59.66666667,
,300,353,378,345,358.6666667,-58.66666667,
,300,353,376,346,358.3333333,-58.33333333,
,300,355,374,347,358.6666667,-58.66666667,
,300,354,373,344,357.0,-57.0,
,300,355,372,346,357.6666667,-57.66666667,
